,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron,m_electron
44,548,65.01427564919595,0.8358592716999893,1.1631857786487347,0.24771412044926353,0.149570961775643,2.001773660205326
45,555,85.17427564919603,0.8924337208812921,0.8139453573006116,0.22407650836993478,0.15295876964226202,2.0000003623706237
46,562,105.33427564919589,0.8601887971705267,0.8499977463335023,0.24956575967488034,0.14261883379160653,2.000012137433704
47,569,125.49427564919597,0.8247208350745281,0.766081744928269,0.2444421628463999,0.14357397133801883,2.000012118311995
48,576,145.65427564919605,0.9234663834625194,0.8445933986837023,0.24763116735285282,0.14354744824210827,2.027276196885635
49,583,165.8142756491959,0.8747651109150894,0.6772900640255722,0.2174454985829666,0.15207557351566062,2.0014105169071312
50,590,185.974275649196,0.854378972448031,1.138175341157689,0.24187628284336127,0.14398711318300028,2.001772550218845
51,597,206.13427564919607,0.7297294089986746,1.1670205145058214,0.2375623704138739,0.14196988646313843,2.000000362370602
52,604,226.29427564919592,0.8491681471482463,1.1409462953356297,0.22876551487828115,0.14337008745665736,2.0000121373771274
53,611,246.454275649196,0.9619410941230268,0.8339034894960259,0.21775775894440622,0.14503321485981338,2.000012118262209
54,617,263.734275649196,0.7499980585327771,1.0284718007700628,0.2450497667334488,0.1378310179225624,2.0268778677502013
55,624,283.89427564919606,0.8301232681733755,1.3246407930028328,0.21911779417178426,0.140609926381532,2.0014094606646213
56,631,304.0542756491959,0.7316278183158194,1.0636814159007788,0.22535842234584366,0.13486590821954528,2.0017710378448452
57,638,324.214275649196,0.8523141042557858,0.7168918508657203,0.21562329482056608,0.1352758250518744,2.0000003623705527
58,645,344.3742756491961,0.8245989534753325,1.2668621733739343,0.24442324997931184,0.12686221065049347,2.000012137336324
59,652,364.53427564919593,0.7736833725791176,1.0461403428096787,0.22358245287539733,0.1223545269152163,2.000012118226579
60,659,384.694275649196,0.8080877829952511,1.1947828053891731,0.21804473245445863,0.1215158084246874,2.026638855676693
61,666,404.8542756491961,0.8494487407373271,1.0052191355892017,0.21295397850177578,0.11529590226367899,2.00140863759295
62,673,425.01427564919595,0.6470892260573958,1.068101911557176,0.247294448547375,0.10886811183983898,2.0017696965009613
63,680,445.17427564919603,0.8762590247796919,1.1509403315901738,0.2051823630104763,0.1072896725950042,2.000000362370513
64,687,465.3342756491959,0.9271306359571491,1.0185417520391673,0.19692658180520026,0.10095492206250588,2.000012137295813
65,694,485.49427564919597,0.6338039287305871,1.0595741648223131,0.21714243996727076,0.09894799873597544,2.000012118200298
66,701,505.65427564919605,0.6537654164681694,1.1157228333087785,0.19635863628826275,0.09436380753897147,2.0263852388648487
67,708,525.8142756491959,0.8327385898311668,0.9866705364137649,0.17087567568688394,0.09374058447179011,2.001408234679695
68,715,545.974275649196,0.6819414607162985,0.911292833907835,0.18370635984861147,0.08071780656297539,2.0017692428292797
69,722,566.1342756491958,0.7188101293337309,0.8882957525408377,0.17786271915670868,0.07752605158510277,2.0000003623704807
70,729,586.2942756491962,0.5556369357096744,1.1327605916132142,0.1757784197669932,0.07731068134973504,2.0000121372533437
71,736,606.454275649196,0.3630581386565496,1.1791805892177225,0.19958327118030372,0.07641860585873456,2.000012118187965
