,lineout pixel,Radius (\mum),Va_general,amp1_general,amp2_general,amp3_general,ne_gradient_general,ud_general,Te_species1,ne_species1,Ti_species2
17,404,-427.6299999999999,-5.004504082966866,0.8474086074810908,0.4415553792945315,0.9553624762880414,9.69896845450131,21.362231808284413,0.33837906576104587,0.20153189779762878,0.04648997085456744
18,407,-419.02,-4.886353767756009,0.8650991100393007,0.4370588993061539,0.9403963140148641,9.529820104977137,21.424500583598828,0.3412343469840194,0.20750058765251886,0.04658486487801328
19,411,-407.53999999999996,-4.808434978551208,0.8785524229061232,0.4318154263344157,0.9659136382851863,10.273310423586617,21.209146395320165,0.3431745522901812,0.21515961749484655,0.04800964406637298
20,414,-398.93000000000006,-4.716676614683536,0.8094496975201109,0.4352929150672686,0.9760371428066892,9.456392036106752,21.79212140867095,0.33594066001361256,0.22420502311011897,0.052528213937976846
21,418,-387.45000000000005,-4.921816859846372,0.9371958664695232,0.4437030857412118,0.9994517781792003,10.976051540318629,20.72936831836032,0.33952947802511474,0.23153063000486893,0.05135811045351384
22,421,-378.8399999999999,-4.9512799698741725,0.9174122538927192,0.4539210372620182,1.0065735520168886,10.172915533849464,20.937372489387847,0.3377735819991923,0.24097276071365734,0.052597172274368754
23,425,-367.3599999999999,-4.9549872779593676,0.8631593483667103,0.44534994111476517,1.0116375361843888,10.23098673185086,21.655537264735663,0.34234345605628547,0.24580510656332627,0.05274644740249212
24,428,-358.75,-5.0070019137469295,0.879721372485808,0.4541044226094022,0.986801258204622,11.522817079387446,21.311547587361485,0.3376678031581233,0.2524763699310994,0.053810470718412745
25,432,-347.27,-5.055006019810748,0.9003766055002991,0.436368856057129,0.9963071182747296,9.520956592900951,18.98113892360303,0.3365409675241893,0.2606834999534466,0.0560721538855749
26,435,-338.6600000000001,-5.013595202676537,0.8891019186689532,0.4447599548042968,1.011943907104491,10.996237745056057,19.09363788035335,0.34549150951701385,0.26575874856245285,0.056879884957621224
27,438,-330.04999999999995,-4.8550404792328505,0.8653563113342764,0.45417441107056683,0.9730071195705168,10.186854475790893,18.40420724299055,0.3520095635846566,0.27221450806535774,0.05619303372884263
28,442,-318.56999999999994,-4.853743591156405,0.855992394403105,0.4449167358370741,1.0079126610937035,10.256042353583156,19.114229578904094,0.34877645992033707,0.2822977758726427,0.05737636388583928
29,445,-309.96000000000004,-4.863187504716833,0.8943946449296994,0.4544883916267591,1.0280121570383294,11.592297404713165,19.00268359667043,0.3492874028701654,0.29208546400362695,0.057613363909577435
30,449,-298.48,-4.933614056728919,0.9030520292904106,0.4370113688303818,0.9380571576592303,9.57447896139929,18.101480563978463,0.3534431574321788,0.30107180074259704,0.057773806872793834
31,452,-289.8699999999999,-5.169866163061591,0.9031675535876427,0.4456854185723883,0.9537686918867903,11.081328595080858,18.104888664551808,0.3492471168982217,0.3138384982614826,0.0589290632895165
32,456,-278.3899999999999,-5.503747624662566,0.899333667280943,0.4546817245843322,0.9797700331575955,10.288691427615728,18.671424766893715,0.34552435835259443,0.3257961260558651,0.060414946058762846
33,459,-269.78,-5.611718358077492,0.8964915901570465,0.44556343241587154,0.9610103351141879,10.373348296055255,19.079708655078406,0.3466462953901085,0.33497693958563346,0.060938945267056455
34,463,-258.29999999999995,-5.736276379017773,0.8853257635856605,0.4546036668572734,1.0081484280735136,11.682835747183352,18.442272443724548,0.3497066462827509,0.34217534086919515,0.06405276107622575
35,466,-249.69000000000005,-5.921459099117372,0.8867585815477634,0.4368235661301807,0.9917194684570196,9.599076967325134,18.63602255691199,0.35719214889525724,0.34938808878603755,0.06388819716556272
36,470,-238.21000000000004,-5.977431152366256,0.8751677857036975,0.44538865832288055,0.969811055511782,11.089153328772825,20.012621387980523,0.3624066776533067,0.35713775265010284,0.06405571266964644
37,473,-229.5999999999999,-6.060966692259983,0.8600675647249896,0.45428671776183627,0.9188358703211643,10.29311850712831,18.512279389481062,0.3629137579993925,0.36571783418737813,0.06261850343116916
38,477,-218.1199999999999,-6.172075228486422,0.842395037774773,0.4452967956373582,0.9306620872123577,10.34893393045798,17.49160027952307,0.35894494746298444,0.3757080860510809,0.06495437369077263
39,480,-209.51,-6.2333128581601684,0.8351490329907291,0.4544634452103265,0.9991691822008697,11.660055243666852,17.69759509049422,0.361450688491515,0.3825004508089537,0.06812219214892752
40,484,-198.02999999999997,-6.354496517828392,0.8768918204739277,0.43681937352746364,0.9586855415072562,9.600245689372304,17.605207451244667,0.36732838952808194,0.3905577740669746,0.06620727468353615
41,487,-189.42000000000007,-6.404991358135477,0.8659057852253743,0.44540133353777833,0.9251897081970268,11.092117348993607,17.339593115405584,0.3688792447414222,0.3972949601504588,0.06509643616895779
42,491,-177.94000000000005,-6.448050735617193,0.8486897407218065,0.45427581156671243,0.965421803747995,10.294585380708655,16.862558847726273,0.3688879770490097,0.40710821332256314,0.06684626073960225
43,494,-169.32999999999993,-6.484949602311725,0.8347965969118452,0.44531331107001515,0.9802843694735162,10.349303665193512,17.540962852590614,0.37538015404552383,0.4132098034013114,0.06818171813452102
44,498,-157.8499999999999,-6.5740519398474735,0.8282246472220056,0.45448811754842156,0.9825379057017962,11.65884280664529,17.770107574606328,0.38135975054038673,0.41938232401004494,0.06836085595452755
45,501,-149.24,-6.769895659915156,0.8681541451025849,0.43683717406493605,0.9571333120908674,9.60071854502616,16.99250709471693,0.38111857443179503,0.429578317358674,0.06787719244365144
46,505,-137.76,-7.023929375269237,0.8574733058261168,0.4454147976883788,0.9500824006074277,11.093171969307681,17.065502973874032,0.38294456925276066,0.4388757046086104,0.06708238816089905
47,508,-129.14999999999986,-7.0511309346458955,0.8425238459202119,0.454279687424067,1.0039113250015637,10.296647909195109,17.44359291529277,0.38437138353124356,0.446743882788292,0.06723685389412129
48,512,-117.67000000000007,-7.063439612314678,0.8295061923022768,0.44532706458492477,1.0122289254904469,10.352880083629245,17.169689895391883,0.39138641064897806,0.453005548253516,0.06612350268829198
49,515,-109.05999999999995,-7.268933456868721,0.82045584003088,0.4545003352110116,1.0009982873129593,11.663304143565579,16.80552045308013,0.39141883956397583,0.4621508413257713,0.06756542776468237
