,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general,,,,
44,501,-78.42453386,0.316277268,0.18472177,0.66693329,0.756664158,,,,
45,505,-57.90453386,0.311995926,0.186692949,0.617579056,0.82828246,,,,
46,508,-42.51453386,0.316155512,0.184006445,0.634447558,0.765289937,,,,
47,512,-21.99453386,0.302555814,0.188542474,0.650432247,0.937046056,,,,
48,516,-1.474533855,0.292305768,0.195045525,0.680347266,0.8426371,,,,
49,520,19.04546614,0.290732839,0.193526861,0.601034921,0.955023091,,,,
50,524,39.56546614,0.300206859,0.190968878,0.578036515,0.917694597,,,,
51,528,60.08546614,0.308333162,0.186731351,0.606659423,0.746744214,,,,
52,532,80.60546614,0.295754966,0.192642924,0.613598145,0.913665639,,,,
53,536,101.1254661,0.311997422,0.18401928,0.631380476,0.890258391,,,,
54,540,121.6454661,0.310363392,0.183550659,0.616552943,0.87737342,,,,
55,544,142.1654661,0.302754085,0.188720477,0.596582175,0.98705959,,,,
56,547,157.5554661,0.294252302,0.191320937,0.563931789,1.043659021,,,,
57,551,178.0754661,0.292802383,0.189750478,0.629307811,1.0159662,,,,
58,555,198.5954661,0.310231422,0.1847343,0.600816802,0.871429867,,,,
59,559,219.1154661,0.286171306,0.18731065,0.731575448,0.88193743,,,,
60,563,239.6354661,0.301936858,0.183826914,0.634527781,0.941640835,,,,
61,567,260.1554661,0.315441914,0.179773691,0.694541409,0.831210613,,,,
62,571,280.6754661,0.298327278,0.182856155,0.685673046,0.884274188,,,,
63,575,301.1954661,0.281274545,0.188993101,0.666385865,1.014320482,,,,
64,579,321.7154661,0.273436933,0.192577533,0.658109489,0.916821332,,,,
65,583,342.2354661,0.286441867,0.190676964,0.559356566,0.954676391,,,,
66,586,357.6254661,0.299363882,0.186526957,0.607544032,0.929793889,,,,
67,590,378.1454661,0.314036893,0.178065106,0.679956397,0.788421523,,,,
68,594,398.6654661,0.299062639,0.184531689,0.658769612,0.950861709,,,,
69,598,419.1854661,0.280067726,0.18723791,0.480656439,0.939690665,,,,
70,602,439.7054661,0.323788799,0.171015082,0.581837269,0.800894936,,,,
71,606,460.2254661,0.310721292,0.171629793,0.559783773,0.849425098,,,,
72,610,480.7454661,0.320490617,0.164267795,0.536835845,0.810011863,,,,
73,614,501.2654661,0.300046864,0.157262052,0.583460993,0.634879221,,,,
74,618,521.7854661,0.294954112,0.154202849,0.562143237,0.620211463,,,,
75,622,542.3054661,0.3100676,0.147523034,0.555318476,0.747765907,,,,
76,625,557.6954661,0.30727507,0.146379962,0.502905822,0.601041488,,,,
77,629,578.2154661,0.311860396,0.139877247,0.553759178,0.778116572,,,,
78,633,598.7354661,0.293953824,0.136089678,0.58781317,0.846838343,,,,
79,637,619.2554661,0.259632332,0.132871978,0.458995667,0.894839672,,,,
80,641,639.7754661,0.254085704,0.123740901,0.611702005,0.631174938,,,,
81,645,660.2954661,0.244559644,0.1208108,0.556184972,0.739969896,,,,
82,649,680.8154661,0.271466604,0.109680636,0.560622453,0.806199769,,,,
83,653,701.3354661,0.235006689,0.110992919,0.661750379,0.786679612,,,,
84,657,721.8554661,0.22712558,0.10637772,0.416769217,0.76701504,,,,
85,661,742.3754661,0.238246958,0.098704236,0.452517681,0.66955204,,,,
86,664,757.7654661,0.307153242,0.069362925,0.303376792,0.371172264,,,,
87,668,778.2854661,0.046173078,0.073070283,3.740715388,0.013052151,,,,
88,672,798.8054661,0.03815554,0.133050714,0.058338442,0.208293085,,,,
89,676,819.3254661,0.024896425,0.356381645,0.268468197,0.769921771,,,,
90,680,839.8454661,0.01,2,0.01,0.01,,,,
91,684,860.3654661,0.01,1.999845755,0.01,0.01,,,,
92,688,880.8854661,0.086125238,0.229523829,0.261569213,0.331357548,,,,
93,692,901.4054661,0.072565839,0.100202399,0.320336486,0.369431543,,,,
94,696,921.9254661,0.038980321,1.257003852,0.250283587,0.232310515,,,,
95,700,942.4454661,0.014351314,0.135270517,0.129759707,0.236924191,,,,
96,703,957.8354661,0.13648893,0.489026725,0.039055837,3.13097033,,,,
97,707,978.3554661,0.015110345,0.727629222,0.400801484,0.418540009,,,,
